epoch,train_loss,drift,diffusion,val_loss
1,0.26075665788217023,0.033691431332210246,0.22706522773225585,0.20513202448685963
2,0.1878689651365404,0.002587016615956151,0.1852819486097856,0.15871714254220326
3,0.1447565168529362,0.0005227066087007353,0.14423381048557046,0.11586081758141517
4,0.10524065971568033,0.00023631772136787412,0.10500434205516593,0.08296089271704356
5,0.07404276602841042,0.00015575070588587928,0.07388701514861026,0.058275692909955976
6,0.05158824710683389,0.00011922353067867724,0.05146902354506703,0.04116124076147874
7,0.03619782493582794,0.00010452017914912023,0.03609330486506224,0.029293411473433176
8,0.02580758398277806,9.088188768122587e-05,0.02571670212722444,0.02132508425662915
9,0.01879661279887735,0.00010156392501765415,0.01869504883062917,0.01566533949226141
10,0.013972386735938973,8.272727869293053e-05,0.01388965943804035,0.01177532495930791
11,0.010610477382002713,7.924580169454604e-05,0.010531231585599772,0.009001600556075573
12,0.00821511684493585,7.675578262342832e-05,0.008138361057363354,0.007041294360533357
13,0.006475049318963444,7.903805332019843e-05,0.0063960112558750365,0.005569382919929922
14,0.005185249848170327,7.998578313198741e-05,0.005105264076672784,0.004474659434830149
15,0.0042032875716323395,7.290091809125726e-05,0.004130386661242259,0.0036633142347758016
16,0.0034452837138956825,6.221766066178075e-05,0.003383066053139409,0.0031449703810115656
17,0.0028764298881174297,7.92943671288637e-05,0.0027971355268707524,0.002531000878661871
18,0.0024078025561213106,7.029136354090456e-05,0.002337511201002091,0.0021082756497586767
19,0.0020309754521827903,6.160302679993698e-05,0.001969372420481031,0.0019052005450551708
20,0.0017451969521156477,7.514257853850345e-05,0.0016700543762583817,0.0015333373274188488
21,0.0014932594759474423,6.621429212544455e-05,0.0014270451842117813,0.001312922992898772
22,0.0012870014141700774,6.252892976649433e-05,0.0012244724822774917,0.001146825032386308
23,0.0011283214908552827,6.918874525770473e-05,0.00105913274342424,0.001013204395227755
24,0.0009842922607914532,6.505965272965539e-05,0.0009192326117470231,0.0008605582047797118
25,0.0008687152732889373,6.608890483918216e-05,0.0008026263676583767,0.0007583815012670432
26,0.0007681694333804409,6.56028183560944e-05,0.000702566614634563,0.0006922191319366296
27,0.0006918606934948014,7.37968027127178e-05,0.0006180638899080238,0.0006337015103781596
28,0.000608808415043833,6.39465914511155e-05,0.0005448618268763477,0.000529471212939825
29,0.0005437129182066744,6.100954524535828e-05,0.0004827033738944341,0.0004949648951878771
30,0.00048782128418112394,5.932391968008823e-05,0.0004284973651270515,0.0004619661296601407
31,0.0004415247158839839,6.053259979822755e-05,0.00038099211323915604,0.00037861476569863345
32,0.0004012300708488404,6.105105685137813e-05,0.000340179013135214,0.00034084213402820753
33,0.0003641530188774182,5.910663354110771e-05,0.0003050463861867471,0.00032217728269946143
34,0.0003310704796367881,5.833781871204975e-05,0.00027273265940103944,0.0002813208508693303
35,0.00030738205541992655,6.168256109580775e-05,0.0002456994952336135,0.0002580614064451462
36,0.000278338096550569,5.571327319676011e-05,0.0002226248234601135,0.00030572412215406074
37,0.0002632712113426079,6.288058317626233e-05,0.00020039062882779626,0.00022555719066682893
38,0.0002403654344833468,5.8730418553656e-05,0.0001816350155753422,0.00019854182028211653
39,0.00021881506118361004,5.445558555900836e-05,0.00016435947506945555,0.00018942678931731886
40,0.0002064549532536018,5.709963655832538e-05,0.0001493553161283187,0.00017448728904128074
41,0.00019459608179145165,5.813612164298296e-05,0.00013645996031383137,0.00015276129294458467
