epoch,train_loss,val_loss
1,169.53979898427988,165.16129989624022
2,177.63534060391513,160.49837061564128
3,183.0312724918514,124.75301005045573
4,163.14873425372235,164.61723734537762
5,159.15958409495167,122.42308044433594
6,165.7375965366116,182.4908083597819
7,161.53818360861246,174.48593292236328
8,181.94581011982706,108.04388809204102
9,180.43378398944805,201.18099670410157
10,167.45246976381773,151.44691263834636
11,161.37731445609748,136.82513071695965
12,156.3261771511722,133.58240127563477
13,184.24587398380427,145.71584854125976
14,178.12252042200657,171.5948720296224
15,145.77288669734807,212.01620864868164
16,159.67500959123885,170.30248514811197
17,170.9953131242232,141.56671803792318
18,156.66672981559455,173.80123748779297
19,161.81526213806944,135.00206241607665
20,168.30868807705966,208.0273880004883
21,161.09219107689796,210.59185129801432
22,153.52977589198522,156.41891377766927
23,148.89292996889586,110.48696975708008
24,150.82158646026215,122.81692504882812
25,147.8286372593471,192.01171875
26,176.48754783729453,173.33224843343098
27,158.64243242338105,159.51619669596354
28,194.6300054773108,166.4903221130371
29,181.67450476312018,153.33125966389974
30,154.65618624005998,125.39874534606933
31,183.51867428073635,163.94583333333333
32,176.23192066341252,188.70873413085937
33,174.1648820158723,190.59170939127605
34,165.1346956228281,179.6431416829427
35,156.1416112726385,141.496834564209
36,168.9119045208027,157.02702789306642
37,153.90996625825957,129.9522476196289
38,177.5598676111791,165.37284291585286
39,165.35032552248472,206.75361328125
40,161.9916895086115,232.69004770914714
